Location,Address,Resolved Address,Date time,Maximum Temperature,Minimum Temperature,Temperature,Wind Chill,Heat Index,Precipitation,Snow Depth,Wind Speed,Wind Gust,Cloud Cover,Relative Humidity,Conditions
England,England,,01/28/2020,45.6,37.5,41,28,,0.12,,19.8,36.9,0.3,78.11,"Rain, Clear"
England,England,,01/29/2020,48.8,37.5,43.1,28.8,,0,,17.7,,0.2,75.79,Clear
England,England,,01/30/2020,55.5,45.8,50.5,40.1,,0.01,,16.9,28.9,0.8,87.75,"Rain, Clear"
England,England,,01/31/2020,54.6,48.5,51.8,43.2,,0,,15.9,31.1,0.8,86.02,Clear
England,England,,02/01/2020,53,45.8,50.6,39.9,,0.04,,25.8,43.8,0.4,72.13,"Rain, Clear"
England,England,,02/02/2020,56.4,44,51,39.3,,0.03,,23.3,38,0.6,80.55,"Rain, Clear"
England,England,,02/03/2020,52.1,42.2,49.2,34.8,,0.01,,17.4,34.4,0.4,73.1,"Rain, Clear"
England,England,,02/04/2020,49.4,41.1,45.2,32.3,,0.01,,21,39.1,0.4,68.87,"Rain, Clear"
England,England,,02/05/2020,47.6,38.4,42.9,34.3,,0,,6.3,,0.1,76.04,Clear
England,England,,02/06/2020,49.4,34.1,41,32.9,,0.01,,5.4,,0,83.74,"Rain, Clear"
England,England,,02/07/2020,49.4,37.1,43.6,31.1,,0.01,,11.1,,0.2,82.2,"Rain, Clear"
England,England,,02/08/2020,51.9,45.8,48.9,40.2,,0.08,,15.9,30,0.4,76.62,"Rain, Clear"
England,England,,02/09/2020,55.6,48.5,51.5,41.3,,0.43,,34,63.3,0.7,79.66,"Rain, Clear"
England,England,,02/10/2020,50.3,39.3,45.2,30.3,,0.05,,28.3,56.4,0.4,69.75,"Rain, Clear"
England,England,,02/11/2020,45.8,39.5,42.1,29.9,,0.16,,29.2,47.2,0.1,59.99,"Rain, Clear"
England,England,,02/12/2020,47.6,36.6,41.9,27.7,,0,,21.1,34.4,0.2,71.95,Clear
England,England,,02/13/2020,50.1,42.2,45.6,34.9,,0.43,,17.4,34.4,0.7,81.43,"Rain, Clear"
England,England,,02/14/2020,53.7,36.8,46.4,32.6,,0.01,,15.9,31.1,0.5,81.41,"Rain, Clear"
England,England,,02/15/2020,55.5,50.3,53.4,,,0.17,,27.4,47.2,0.8,87.24,"Rain, Clear"
England,England,,02/16/2020,55.7,43.8,50.3,35.9,,0.75,,25.8,54.1,0.6,84.82,"Rain, Clear"
England,England,,02/17/2020,51.2,42.9,46.4,35.1,,0.05,,22.8,40.3,0.4,69.41,"Rain, Clear"
England,England,,02/18/2020,51.2,38.6,44.6,30.5,,0.08,,20.3,40.3,0.4,76.84,"Rain, Clear"
England,England,,02/19/2020,49.4,37.7,43.6,30.1,,0.24,,15.4,,0.4,81.87,"Rain, Clear"
England,England,,02/20/2020,51,38.6,46.4,29.8,,0.19,,21.1,45,0.6,81.29,"Rain, Clear"
England,England,,02/21/2020,51.9,39.3,46.2,31.3,,0,,22.2,39.1,0.5,72.37,Clear
England,England,,02/22/2020,56.6,49.2,52.1,42.3,,0.01,,28.3,46.1,0.7,70.05,"Rain, Clear"
England,England,,02/23/2020,59.1,46.7,52.1,44.1,,0.02,,26.1,49.4,0.6,73.13,"Rain, Clear"
England,England,,02/24/2020,53.9,43.1,49.4,37.3,,0.31,,23.3,41.4,0.7,82.96,"Rain, Clear"
England,England,,02/25/2020,47.6,39.3,43.6,30.8,,0.02,,19.2,33.3,0.5,74.63,"Rain, Clear"
England,England,,02/26/2020,47.6,35.9,41,26.5,,0.01,,19.3,35.8,0.3,67.9,"Rain, Clear"
England,England,,02/27/2020,47.4,36.6,40.9,30.2,,0.37,,19.7,34.4,0.5,72.67,"Rain, Clear"
England,England,,02/28/2020,53,34.8,44.1,30.1,,0.12,,18.7,33.3,0.6,84.56,"Rain, Clear"
England,England,,02/29/2020,52.1,41.3,46.4,32.8,,0.37,,25.4,49.4,0.5,76,"Rain, Clear"
England,England,,03/01/2020,51,41.1,44.8,33.4,,0,,22,35.8,0.1,64.34,Clear
England,England,,03/02/2020,50.1,39.5,43.4,33.4,,0.25,,16.3,,0.5,73.87,"Rain, Clear"
England,England,,03/03/2020,48.5,35.7,41.8,30.6,,0.02,,15,,0.2,76.22,"Rain, Clear"
England,England,,03/04/2020,47.4,35.9,41.6,32.6,,0.12,,10.6,,0.5,85.77,"Rain, Clear"
England,England,,03/05/2020,43.8,42.2,43.1,35.6,,0.63,,15.3,31.1,0.8,89.52,"Rain, Clear"
England,England,,03/06/2020,49.4,37.7,43.4,34.1,,0.08,,11.1,,0.3,68.37,"Rain, Clear"
England,England,,03/07/2020,54.8,35.9,46.2,31.2,,0,,17.2,33.3,0.4,80.11,Clear
England,England,,03/08/2020,55.7,44.7,49.9,39.5,,0.09,,20.3,38,0.6,75.65,"Rain, Clear"
England,England,,03/09/2020,52.1,40.4,45.9,33.6,,0.05,,17.7,31.1,0.5,78.75,"Rain, Clear"
England,England,,03/10/2020,60.2,51.2,55.4,,,0.2,,24.8,46.1,0.8,84.19,"Rain, Clear"
England,England,,03/11/2020,58.4,48.5,52.3,44.4,,0.01,,21.3,38,0.6,76.84,"Rain, Clear"
England,England,,03/12/2020,51.2,41.3,46.3,34.5,,0.02,,32.7,47.2,0.3,62.01,"Rain, Clear"
England,England,,03/13/2020,54.6,43.8,47.5,35.8,,0,,18.3,28.9,0.4,64.67,Clear
England,England,,03/14/2020,54.8,44.7,49.5,39.5,,0.12,,13.9,,0.7,79.27,"Rain, Clear"
England,England,,03/15/2020,53.7,45.6,49.8,42.2,,0.02,,18.2,32.2,0.7,80.29,"Rain, Clear"
England,England,,03/16/2020,54.8,39.3,46.9,34.4,,0.02,,9.7,,0.2,67.58,"Rain, Clear"
England,England,,03/17/2020,56.6,42,49.4,37.7,,0,,14.7,,0.4,77.69,Clear
England,England,,03/18/2020,60,49.2,53.5,46.1,,0,,15.3,,0.8,79.97,Clear
England,England,,03/19/2020,47.6,43.8,46,38.6,,0.02,,10,,0.8,89.13,"Rain, Clear"
England,England,,03/20/2020,50.1,42.9,45.9,36.2,,0.01,,17.9,32.2,0.7,68.71,"Rain, Clear"
England,England,,03/21/2020,50.3,40.4,44.6,33.3,,0,,24.4,35.8,0.3,61.79,Clear
England,England,,03/22/2020,50.1,40.2,44.9,33.4,,0,,20.6,32.2,0.1,63.02,Clear
England,England,,03/23/2020,52.8,38.6,45.3,32.9,,0,,15.7,,0,55.01,Clear
England,England,,03/24/2020,60.2,37.5,47.9,31.8,,0,,10.1,,0,48.8,Clear
England,England,,03/25/2020,55.7,35.7,45.5,38.6,,0,,12.9,,0,50.9,Clear
England,England,,03/26/2020,55.7,36.8,45.6,32.8,,0,,15,,0,55.42,Clear
England,England,,03/27/2020,56.6,38.4,46.9,34.6,,0,,15.9,28.9,0,59.8,Clear
England,England,,03/28/2020,52.1,42,45.9,36,,0,,19.3,36.9,0.3,63.05,Clear
England,England,,03/29/2020,46.5,38.6,42.2,32.7,,0.01,,18,41.4,0.3,54.4,"Rain, Clear"
England,England,,03/30/2020,50.3,37.7,42.9,32.7,,0.01,,13.4,30,0.6,68.05,"Rain, Clear"
England,England,,03/31/2020,51.1,38.6,44.2,32.7,,0.01,,14.2,,0.3,65.84,"Rain, Clear"
England,England,,04/01/2020,48.3,34.8,43.3,31.2,,0.01,,8.1,,0.3,62.48,"Rain, Clear"
England,England,,04/02/2020,55.7,43.1,49.9,38.8,,0,,15.3,,0.7,62.94,Clear
England,England,,04/03/2020,55.7,43.1,49.8,41.1,,0,,8.4,,0.4,61.37,Clear
England,England,,04/04/2020,62,38.6,50.3,38.6,,0,,10.5,,0.1,64.55,Clear
England,England,,04/05/2020,70.1,46.7,58.5,41.6,,0,,15.1,,0,47.91,Clear
England,England,,04/06/2020,63.6,51,57.5,,,0.02,,13.9,,0.2,59.37,"Rain, Clear"
England,England,,04/07/2020,67.2,43.1,55,47.4,,0,,12.5,,0.1,60.04,Clear
England,England,,04/08/2020,68.1,51.2,59,,,0,,11.8,,0.2,60.09,Clear
England,England,,04/09/2020,71,49.4,59,48.1,,0,,16.9,,0.1,61.44,Clear
England,England,,04/10/2020,71.9,48.5,58.5,45.9,,0,,16.6,,0.1,64.34,Clear
England,England,,04/11/2020,77,48.5,62.1,46.9,,0,,10.8,,0.1,59.04,Clear
England,England,,04/12/2020,76.1,51,62.8,,,0.08,,11,,0.1,54.57,"Rain, Clear"
England,England,,04/13/2020,56.6,43.8,49.4,37.8,,0,,19,32.2,0.5,57.07,Clear
England,England,,04/14/2020,54.8,41.3,46.9,35.9,,0,,11.2,,0.3,52.93,Clear
England,England,,04/15/2020,65.4,39.3,50.7,37.2,,0,,12.9,19.7,0,59.13,Clear
England,England,,04/16/2020,66.3,43.8,54.9,42.2,,0,,11.1,18.3,0.1,63.64,Clear
England,England,,04/17/2020,58.2,48.5,52.8,43.8,,0.02,,19.8,,0.2,67.03,"Rain, Clear"
England,England,,04/18/2020,58.2,44.9,50.5,41.1,,0.19,,12.8,,0.7,76.67,"Rain, Clear"
England,England,,04/19/2020,65.4,45.8,53.7,43,,0,,18.9,,0.1,62.27,Clear
England,England,,04/20/2020,64.5,44.9,54.3,42.2,,0,,23.6,35.8,0,54.63,Clear
England,England,,04/21/2020,63.8,49.4,56.5,45,,0,,23,30,0,49.96,Clear
England,England,,04/22/2020,69,47.6,58,45.2,,0.01,,19.5,,0,52.68,"Rain, Clear"
England,England,,04/23/2020,73.7,46.7,59.3,44.8,,0,,11.8,,0.1,56.09,Clear
England,England,,04/24/2020,71,48.5,58.8,47.3,,0,,12.3,,0,54.65,Clear
England,England,,04/25/2020,59.1,45.8,51.6,40.8,,0,,12.3,,0.4,68.95,Clear
England,England,,04/26/2020,69,40.2,55.2,45.1,,0,,10.6,,0,62,Clear
England,England,,04/27/2020,64.5,45.8,55.6,44.6,,0,,16.2,,0.3,62.75,Clear
England,England,,04/28/2020,52.8,46.5,48.1,40.9,,0.45,,14.8,,0.8,86.9,"Rain, Clear"
England,England,,04/29/2020,57.3,45.8,50.9,42.6,,0.24,,12.8,,0.7,80.09,"Rain, Clear"
England,England,,04/30/2020,56.6,43.8,49.5,39.1,,0.39,,17.5,39.1,0.4,81.44,"Rain, Clear"
England,England,,05/01/2020,59.1,46.5,51.9,42.2,,0.02,,16.9,33.3,0.4,71.4,"Rain, Clear"
England,England,,05/02/2020,63.7,44.9,53.7,39.7,,0,,12.4,,0.2,61.46,Clear
England,England,,05/03/2020,59.3,48.5,54.3,47.3,,0,,8.4,,0.5,65.57,Clear
England,England,,05/04/2020,62.9,49.4,55.8,44.3,,0,,16.3,,0.3,64.55,Clear
England,England,,05/05/2020,59.1,47.6,51.9,42.7,,0,,20.9,30,0.3,61.07,Clear
England,England,,05/06/2020,63.6,42.9,53.2,39.9,,0,,12.6,,0.1,61.4,Clear
England,England,,05/07/2020,72.8,45.6,59.3,44.2,,0,,9.2,17.2,0.1,61.53,Clear
England,England,,05/08/2020,75.5,50.1,63.4,,,0,,9.6,,0.1,52.55,Clear
England,England,,05/09/2020,75.5,51.9,63.9,,,0,,14,,0.1,53.7,Clear
England,England,,05/10/2020,64.7,46.5,55.9,40,,0,,21.7,38,0.5,63.2,Clear
England,England,,05/11/2020,53.9,42.2,47.9,36,,0,,19,42.5,0.3,49.86,Clear
England,England,,05/12/2020,59.3,37.7,49.4,35,,0,,8.1,,0.1,53.24,Clear
England,England,,05/13/2020,54.8,44.9,49.8,40.5,,0,,16.6,30,0.2,53.97,Clear
England,England,,05/14/2020,56.4,39.5,48.2,34.9,,0,,12.8,,0.1,57.89,Clear
England,England,,05/15/2020,65.4,39.5,53.7,40.5,,0,,9.5,,0.1,55.05,Clear
England,England,,05/16/2020,64.5,48.5,55.8,46.7,,0,,11.4,,0.2,52.29,Clear
England,England,,05/17/2020,68.1,46.7,58,43.9,,0,,13.6,,0.1,57.87,Clear
England,England,,05/18/2020,74.6,51.2,62.6,,,0,,14.7,25.3,0.2,52.01,Clear
England,England,,05/19/2020,78.2,54.6,66.1,,,0,,9.8,,0.1,58.32,Clear
England,England,,05/20/2020,80.9,55.7,69.2,,80,0,,9.5,,0.1,53.55,Clear
England,England,,05/21/2020,81.6,58.2,70.5,,80.1,0,,9.2,,0.1,50.83,Clear
England,England,,05/22/2020,71.7,58.2,66.3,,,0,,21.3,34.4,0.3,49.36,Clear
England,England,,05/23/2020,66.3,53,58.8,,,0.05,,25.7,48.3,0.2,55.96,"Rain, Clear"
England,England,,05/24/2020,72.8,52.1,61.4,,,0,,16.3,28.9,0.3,58.99,Clear
England,England,,05/25/2020,77.3,52.1,65.8,,,0,,8.9,,0,53.71,Clear
England,England,,05/26/2020,79.1,53.7,67.8,,,0,,12.7,,0.1,51.49,Clear
England,England,,05/27/2020,76.2,57.3,66.6,,,0,,15,,0.2,54.79,Clear
England,England,,05/28/2020,69.2,53.7,61.8,,,0,,16.5,25.3,0.2,52.73,Clear
England,England,,05/29/2020,72.8,53,62.6,,,0,,14.5,,0,50.3,Clear
England,England,,05/30/2020,75.5,51,63.7,,,0,,17.4,,0,53.38,Clear
England,England,,05/31/2020,74.5,55.5,65.1,,,0,,20.5,30,0,47.6,Clear
England,England,,06/01/2020,78,54.6,66,,,0,,13.6,,0,52.76,Clear
England,England,,06/02/2020,76.4,55.7,66.4,,,0,,9.2,20.8,0.1,48.08,Clear
England,England,,06/03/2020,66.5,57.3,62,,,0.01,,13.3,28.9,0.4,62.77,"Rain, Clear"
England,England,,06/04/2020,61.8,51.9,55.8,,,0,,13.9,,4.5,65.76,Clear
England,England,,06/05/2020,62.7,51,55.4,,,0.07,,22.8,41.4,0.4,61.92,"Rain, Clear"
England,England,,06/06/2020,56.3,46.7,51.2,40.1,,0.31,,23.3,36.3,0.4,72.2,"Rain, Clear"
England,England,,06/07/2020,64.7,45.8,54.9,41.3,,0.02,,11.8,,0.4,76.89,"Rain, Clear"
England,England,,06/08/2020,60.2,51.2,55.5,,,0,,10.9,,0.6,65.43,Clear
England,England,,06/09/2020,66.3,48.5,58.2,48.7,,0,,10.6,,0.3,55.9,Clear
England,England,,06/10/2020,59.3,52.8,56.3,,,0.13,,10.1,,0.5,79.28,"Rain, Clear"
England,England,,06/11/2020,67.2,53,58.8,,,0.02,,19.3,31.1,0.7,77.53,"Rain, Clear"
England,England,,06/12/2020,68.3,57.5,62.2,,,0.01,,19.9,31.1,0.6,78.25,"Rain, Clear"
England,England,,06/13/2020,74.4,56.6,65.3,,,0.02,,17.8,30,0.1,67.23,"Rain, Clear"
England,England,,06/14/2020,71.9,56.6,65.1,,,0.04,,10.8,,0.2,67.81,"Rain, Clear"
England,England,,06/15/2020,74.4,53.9,64.8,,,0.12,,6.6,,0.1,66.85,"Rain, Clear"
England,England,,06/16/2020,73.6,57.3,65.7,,,0.02,,10.2,,1.4,65.39,"Rain, Clear"
England,England,,06/17/2020,70.1,56.4,62.9,,,0.67,,6.8,,0.3,77.58,"Rain, Clear"
England,England,,06/18/2020,67.4,57.5,61.1,,,0.68,,10.5,,0.5,83.2,"Rain, Clear"
England,England,,06/19/2020,66.5,57.3,61.2,,,0.02,,16.9,27.7,0.6,74.65,"Rain, Clear"
England,England,,06/20/2020,71,55.5,62.9,,,0.01,,12.8,,0.3,69.6,"Rain, Clear"
England,England,,06/21/2020,72.6,59.1,64.7,,,0.06,,17.5,34.4,0.3,64.58,"Rain, Clear"
England,England,,06/22/2020,72.8,52.1,63.5,,,0,,11.8,,0.1,60.13,Clear
England,England,,06/23/2020,81.8,55.7,69.7,,81.3,0,,9.7,,0,58.08,Clear
England,England,,06/24/2020,85.7,62,74.5,,84.2,0,,14.1,,0,54.55,Clear
England,England,,06/25/2020,87.2,64.7,76.2,,86.8,0,,19.6,,0,54.25,Clear
England,England,,06/26/2020,85.2,63.6,74.1,,85.2,0.02,,14.1,,0.1,62.36,"Rain, Clear"
England,England,,06/27/2020,69,60.9,63.7,,,0.1,,19.7,33.3,0.6,74.79,"Rain, Clear"
England,England,,06/28/2020,68.1,54.8,61,,,0.05,,20.8,33.3,0.5,67.24,"Rain, Clear"
England,England,,06/29/2020,67.4,54.8,60.2,,,0.12,,22.2,40.3,0.5,61.21,"Rain, Clear"
England,England,,06/30/2020,65.6,55.7,60.9,,,0.03,,15.3,,0.6,76.2,"Rain, Clear"
England,England,,07/01/2020,68.3,58.2,63.6,,,0.2,,13.9,,0.5,74.73,"Rain, Clear"
England,England,,07/02/2020,68.1,54.8,60.8,,,0.01,,16.9,,0.3,79.27,"Rain, Clear"
England,England,,07/03/2020,68.3,54.8,61.3,,,0.2,,18.8,32.2,0.4,75.16,"Rain, Clear"
England,England,,07/04/2020,68.3,60,63.9,,,0.04,,18.5,32.2,0.8,83.8,"Rain, Clear"
England,England,,07/05/2020,70.8,58.4,65.1,,,0.01,,27.4,41.2,0.4,62.29,"Rain, Clear"
England,England,,07/06/2020,67.4,53.9,60.8,,,0,,17.2,30,0.2,59.67,Clear
England,England,,07/07/2020,68.3,52.1,60.8,,,0,,14.4,,0.4,63.8,Clear
England,England,,07/08/2020,67.2,57.5,62.2,,,0.4,,11.1,,0.7,90.19,"Rain, Clear"
England,England,,07/09/2020,67.4,60.2,63.8,,,0.19,,15.5,,0.7,86.32,"Rain, Clear"
England,England,,07/10/2020,65.6,55.5,60.6,,,0.09,,14.9,,0.4,67.34,"Rain, Clear"
England,England,,07/11/2020,68.3,50.1,60.5,,,0,,11.8,,0.1,58.77,Clear
England,England,,07/12/2020,75.5,51.2,64.1,,,0,,9.2,,0.1,56.64,Clear
England,England,,07/13/2020,76.4,56.6,66.9,,,0,,13.9,,0.2,52.65,Clear
England,England,,07/14/2020,69.2,60.2,64.8,,,0.06,,9.3,,0.5,69.62,"Rain, Clear"
England,England,,07/15/2020,65.6,56.6,62,,,0,,12.1,,0.6,67.05,Clear
England,England,,07/16/2020,72.8,61.1,66.1,,,0,,12.1,,0.8,68.55,Clear
England,England,,07/17/2020,80.9,63.8,71.8,,80.4,0,,13.6,,0.3,60.1,Clear
England,England,,07/18/2020,77.1,60.2,68.1,,,0,,12.4,,0.3,62.04,Clear
England,England,,07/19/2020,68.1,59.1,63.7,,,0.02,,10.3,,0.5,69.6,"Rain, Clear"
England,England,,07/20/2020,73.5,54.6,63.6,,,0,,9.2,20.8,0.1,51.54,Clear
England,England,,07/21/2020,72.7,55.6,63.7,,,0,,7.2,,0.1,48.79,Clear
England,England,,07/22/2020,77.3,60,67.9,,,0,,11.8,,0.1,49.84,Clear
England,England,,07/23/2020,77.3,57.5,67.3,,,0,,14.2,,0.3,55.49,Clear
England,England,,07/24/2020,75.5,62.7,68.5,,,0,,11.1,,0.5,66.44,Clear
England,England,,07/25/2020,70.1,60,64.9,,,0.12,,17.2,28.9,0.6,83.4,"Rain, Clear"
England,England,,07/26/2020,71.7,55.5,62.8,,,0.27,,15.8,,0.4,78.73,"Rain, Clear"
England,England,,07/27/2020,69.2,61.1,64.4,,,0.09,,18.2,32.2,4.1,81.43,"Rain, Clear"
England,England,,07/28/2020,70.1,55.7,62.7,,,0.02,,18.8,,0.2,61.61,"Rain, Clear"
England,England,,07/29/2020,73.5,50.3,63.6,,,0,,10.9,,0.2,58.37,Clear
England,England,,07/30/2020,84.3,55.5,70.8,,82,0,,7.5,,0.1,49.05,Clear
England,England,,07/31/2020,97,62.9,78.1,,96.1,0,,14.2,,0.1,51.33,Clear
England,England,,08/01/2020,79.1,62.7,70.7,,,0,,13.9,,0.3,61.48,Clear
England,England,,08/02/2020,74.6,56.6,65.9,,,0,,13.6,,0.2,59.23,Clear
England,England,,08/03/2020,74.4,60,66.1,,,0,,12.9,,0.2,52.7,Clear
England,England,,08/04/2020,73.5,53.9,64.6,,,0,,13.9,,0.1,63.4,Clear
England,England,,08/05/2020,78.2,60.2,68.8,,,0,,17.5,28.9,0.4,58.46,Clear
England,England,,08/06/2020,83.6,66.5,72.6,,83.8,0,,10.6,,0.5,67.53,Clear
England,England,,08/07/2020,96.2,59.3,77.1,,93.7,0,,12.4,,0.1,52.76,Clear
England,England,,08/08/2020,90.7,69.9,77.8,,91,0,,13.2,,0.2,56.02,Clear
England,England,,08/09/2020,89,64.5,75.3,,90.5,0,,13.9,,0.2,63.64,Clear
England,England,,08/10/2020,93.8,67.4,79.6,,93.4,0,,14.1,,0.1,58.34,Clear
England,England,,08/11/2020,93.5,70.1,81.4,,93.5,0,,10.3,,0.1,57.44,Clear
England,England,,08/12/2020,93.3,71.9,80.5,,95.5,0.16,,14.9,,0.1,59.71,"Rain, Clear"
England,England,,08/13/2020,80.5,68,73.9,,82.2,0,,9.2,0,47.9,71.34,Partially cloudy
England,England,,08/14/2020,68.2,64.5,66.1,,,0.59,,8.3,0,0.9,84.77,"Rain, Clear"
England,England,,08/15/2020,69,63.6,66,,,0.09,,8.1,,0.8,91.33,"Rain, Clear"
England,England,,08/16/2020,76.2,63.8,69.1,,,0.59,,6.9,,0.5,83.36,"Rain, Clear"
England,England,,08/17/2020,71,60.2,65.7,,,0.54,,9.1,,0.3,80.74,"Rain, Clear"
England,England,,08/18/2020,73.7,62,67.8,,,0.31,,13.2,39.1,0.4,73.38,"Rain, Clear"
England,England,,08/19/2020,68.6,61.1,65.3,,,0.39,,12.8,,0.5,91.96,"Rain, Clear"
England,England,,08/20/2020,78.7,64.3,71.2,,,0,,18.3,24.2,44.5,60.52,Partially cloudy
England,England,,08/21/2020,72.8,65,69,,,0,,23.9,39.5,0.5,65.42,Clear
England,England,,08/22/2020,73.3,62.5,66.9,,,0,,19.7,,57,62.51,Partially cloudy
England,England,,08/23/2020,71.5,60.7,65.4,,,0,,15,,48.4,64.05,Partially cloudy
England,England,,08/24/2020,73.3,57.1,64,,,0,,11.4,,47,72.06,Partially cloudy
England,England,,08/25/2020,71.5,60.7,65.3,,,0,,26.4,41.4,65.5,76.96,Partially cloudy
England,England,,08/26/2020,71.5,62.5,66.2,,,0,,25.3,39.1,69.7,59.02,Partially cloudy
England,England,,08/27/2020,66.1,58.9,61.8,,,0,,16.1,,68.1,75.76,Partially cloudy
England,England,,08/28/2020,58.9,57.1,58.6,,,0,,8.1,,72.8,89.01,Partially cloudy
England,England,,09/29/2020,65.4,56.4,60.8,,,0,,9.6,,65.5,82.27,Partially cloudy
England,England,,09/30/2020,63.6,52.1,57.6,,,0,,16.1,27.7,38,82.45,Partially cloudy
